Movie ID,Title,Release Date,Genre,Vote Average,Vote Count,Overview,Language,Budget,Revenue,Poster Path,Popularity,Adult,Production Companies
1214667,Making Squid Game: The Challenge,2023-12-06,Documentary,6.1,25,"Go behind the scenes and witness how the ""Squid Game""-inspired reality show transformed from a scripted drama to a cutthroat, nail-biting competition.",en,0,0,https://image.tmdb.org/t/p/w500/lUb97EhBhNBfQ9wmy8YMbiNLtGh.jpg,1105.095,False,
1010581,My Fault,2023-06-08,Romance,7.9,3359,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",es,0,0,https://image.tmdb.org/t/p/w500/w46Vw536HwNnEzOa7J24YH9DPRS.jpg,860.696,False,"Pokeepsie Films, Amazon Studios"
1010581,My Fault,2023-06-08,Drama,7.9,3359,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",es,0,0,https://image.tmdb.org/t/p/w500/w46Vw536HwNnEzOa7J24YH9DPRS.jpg,860.696,False,"Pokeepsie Films, Amazon Studios"
1176128,Santa Isn't Real,2023-12-08,Horror,7.2,8,"After suffering a brutal attack on Christmas Eve, a young woman, Nikki, struggles to convince her friends that the assailant was none other than Ol' Kris Kringle. When Santa returns to terrorize the group in their remote cabin the next Christmas, Nikki and her friends must overcome disbelief as they fight to stay alive.",en,0,0,https://image.tmdb.org/t/p/w500/pDRZgeTeefpled1CIRLxdXPgXcv.jpg,410.395,False,Rotting Press
385687,Fast X,2023-05-17,Action,7.07,5691,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",en,340000000,704709660,https://image.tmdb.org/t/p/w500/fiVW06jE7z9YnO4trhaMEdclSiC.jpg,325.212,False,"Universal Pictures, Original Film, One Race, Perfect Storm Entertainment"
385687,Fast X,2023-05-17,Crime,7.07,5691,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",en,340000000,704709660,https://image.tmdb.org/t/p/w500/fiVW06jE7z9YnO4trhaMEdclSiC.jpg,325.212,False,"Universal Pictures, Original Film, One Race, Perfect Storm Entertainment"
385687,Fast X,2023-05-17,Thriller,7.07,5691,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",en,340000000,704709660,https://image.tmdb.org/t/p/w500/fiVW06jE7z9YnO4trhaMEdclSiC.jpg,325.212,False,"Universal Pictures, Original Film, One Race, Perfect Storm Entertainment"
872585,Oppenheimer,2023-07-19,Drama,8.076,9594,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,en,100000000,952000000,https://image.tmdb.org/t/p/w500/8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg,306.8,False,"Syncopy, Universal Pictures, Atlas Entertainment, Breakheart Films, Peters Creek Entertainment"
872585,Oppenheimer,2023-07-19,History,8.076,9594,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,en,100000000,952000000,https://image.tmdb.org/t/p/w500/8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg,306.8,False,"Syncopy, Universal Pictures, Atlas Entertainment, Breakheart Films, Peters Creek Entertainment"
1202565,No salgas,2023-11-24,Thriller,8.8,4,"Struck by the tragic death of his father, Milagros, a young girl who studies drama, goes on a trip with her friends and her boyfriend, Juan Pablo, in search of calm and fun. Everything goes well until a group of masked strangers shows up.",es,0,0,https://image.tmdb.org/t/p/w500/53EMwPsZkuKSRzZa2GESTa6ZKV4.jpg,254.875,False,Stan Productions
